"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","Fence","MiscFeature","MiscVal","MoSold","YrSold","SalePrice"
"331",331,90,2,105,10624,1,2,3,3,2,3,2,2,1,1,5,4,1964,1964,2,2,4,4,4,3,3,2,6,40,2,264,1424,1728,2,3,5,1728,0,0,1728,1,2,0,6,2,3,10,3,0,3,2002,1,1,352,3,3,2,155,0,0,0,0,0,1,1,0,1,2007,119000
"332",332,20,2,70,8176,1,2,3,3,2,3,2,2,2,1,5,6,1958,1992,2,2,1,4,4,3,3,2,2,846,1,0,210,1056,2,2,5,1056,0,0,1056,0,1,0,3,1,3,6,3,0,5,1958,2,1,308,3,3,2,0,0,0,0,0,0,1,1,0,1,2007,139000
"333",333,20,2,85,10655,1,2,3,3,2,3,2,2,2,1,8,5,2003,2004,3,3,4,5,4,4,3,2,6,1124,1,479,1603,3206,2,5,5,1629,0,0,1629,0,2,0,3,1,4,7,3,1,5,2003,2,3,880,3,3,2,0,0,0,0,0,0,1,1,0,1,2009,284000
"334",334,120,3,59,8198,1,2,3,0,2,3,2,2,2,1,7,5,2004,2004,3,3,4,5,4,4,3,4,6,720,1,0,638,1358,2,5,5,1358,0,0,1358,0,2,0,2,1,4,6,3,1,5,2004,2,2,484,3,3,2,192,30,0,0,0,0,1,1,0,1,2008,207000
"335",335,60,2,59,9042,1,2,3,3,2,3,2,2,2,4,6,5,1998,1998,3,3,1,4,4,4,3,5,6,828,1,0,115,943,2,4,5,943,695,0,1638,0,2,1,3,1,3,7,3,2,5,1998,4,2,472,3,3,2,100,38,0,0,0,0,1,1,0,1,2008,192000
"336",336,190,2,78,164660,0,3,3,2,0,3,2,2,1,3,5,6,1965,1965,3,3,1,4,4,3,3,5,5,1249,3,147,103,1499,2,5,5,1619,167,0,1786,0,2,0,3,1,3,7,3,2,5,1965,4,2,529,3,3,2,670,0,0,0,0,0,1,1,700,1,2008,228950
"337",337,20,2,86,14157,1,3,3,2,2,3,2,2,2,1,9,5,2005,2006,3,3,4,5,4,5,3,5,6,1249,1,0,673,1922,2,5,5,1922,0,0,1922,0,2,0,3,1,4,8,3,1,5,2005,4,3,676,3,3,2,178,51,0,0,0,0,1,1,0,1,2007,377426
"338",338,20,2,70,9135,1,2,3,3,2,3,2,2,2,1,7,5,2002,2003,3,3,4,5,4,4,3,4,6,810,1,0,726,1536,2,5,5,1536,0,0,1536,0,2,0,3,1,4,7,3,0,5,2002,2,2,532,3,3,2,192,74,0,0,0,0,1,1,0,1,2008,214000
"339",339,20,2,91,14145,1,2,3,2,2,3,2,2,2,1,7,7,1984,1998,2,2,1,5,4,4,3,3,5,213,1,0,995,1208,2,5,5,1621,0,0,1621,0,2,0,3,1,4,8,3,0,5,1984,2,2,440,3,3,2,108,45,0,0,0,0,1,1,400,1,2006,202500
"340",340,20,2,66,12400,1,2,3,3,2,3,1,2,2,1,6,7,1958,1998,2,2,4,4,4,3,2,2,2,585,1,0,630,1215,2,3,5,1215,0,0,1215,0,1,0,3,1,3,6,3,0,5,1958,1,1,297,3,3,2,0,0,0,0,234,0,1,1,0,1,2009,155000
"341",341,60,2,85,14191,1,2,3,3,2,3,2,2,2,4,8,5,2002,2002,3,3,1,5,4,4,3,2,1,0,1,0,967,967,2,5,5,993,915,0,1908,0,2,1,4,1,4,9,3,0,5,2002,4,2,431,3,3,2,135,0,0,0,0,0,1,1,0,1,2010,202900
"342",342,20,4,60,8400,1,2,3,3,2,3,1,2,2,1,4,4,1950,1950,2,3,1,3,3,3,2,2,1,0,1,0,721,721,2,4,5,841,0,0,841,0,1,0,2,1,3,4,3,0,2,1950,1,1,294,3,3,1,250,0,24,0,0,0,1,1,0,1,2009,82000
"343",343,90,2,70,8544,1,2,3,3,2,3,2,2,1,1,3,4,1949,1950,5,5,4,4,4,1,1,2,1,0,1,0,0,0,1,2,2,1040,0,0,1040,0,2,0,2,2,3,6,3,0,3,1949,1,2,400,3,3,2,0,0,0,0,0,0,1,1,0,1,2006,87500
"344",344,120,2,63,8849,1,2,3,3,2,3,2,2,2,1,9,5,2005,2005,2,2,4,7,4,5,3,2,6,28,1,0,1656,1684,2,5,5,1684,0,0,1684,0,2,0,2,1,5,6,3,1,5,2005,2,2,564,3,3,2,495,72,0,0,0,0,1,1,0,1,2008,266000
"345",345,160,3,36,2592,1,2,3,3,2,3,2,2,2,4,5,3,1976,1976,2,2,1,4,4,4,3,2,2,129,3,232,175,536,2,3,5,536,576,0,1112,0,1,1,3,1,3,4,3,0,5,1976,1,1,336,3,3,2,182,0,0,0,0,0,1,1,0,1,2010,85000
"346",346,50,2,65,6435,1,2,3,3,2,3,0,2,2,3,6,5,1939,1950,2,2,1,4,4,3,3,2,1,0,1,0,972,972,2,4,5,972,605,0,1577,0,1,0,3,1,2,6,3,1,3,1939,1,1,312,3,3,2,0,0,0,0,0,0,1,1,0,1,2006,140200
"347",347,20,2,21,12772,1,2,3,4,2,3,2,2,2,1,6,8,1960,1998,2,2,1,4,5,3,3,3,3,498,1,0,460,958,2,3,5,958,0,0,958,0,1,0,2,1,3,5,3,0,5,1960,2,1,301,3,3,2,0,0,0,0,0,0,1,3,15500,1,2007,151500
"348",348,20,2,75,17600,1,2,3,3,2,3,2,2,2,1,6,5,1960,1960,2,2,4,4,4,3,3,2,3,1270,1,0,208,1478,2,5,5,1478,0,0,1478,0,2,0,3,1,3,6,3,2,5,1960,1,2,498,3,3,2,0,40,0,0,0,0,1,1,0,1,2009,157500
"349",349,160,2,36,2448,1,2,3,3,2,3,2,2,1,4,7,5,2003,2004,3,2,4,5,4,4,3,2,6,573,1,0,191,764,2,5,5,764,862,0,1626,0,2,1,2,1,4,6,3,0,5,2003,2,2,474,3,3,2,0,27,0,0,0,0,1,1,0,1,2008,154000
"350",350,60,2,56,20431,1,2,3,3,2,3,2,2,2,4,9,5,2005,2006,2,2,4,7,4,5,3,2,6,1410,1,0,438,1848,2,5,5,1848,880,0,2728,0,2,1,4,1,5,10,3,2,5,2006,4,3,706,3,3,2,0,0,0,0,0,0,1,1,0,1,2006,437154
"351",351,120,2,68,7820,1,2,3,3,2,3,2,2,2,1,9,5,2007,2007,2,2,4,7,4,5,3,2,1,0,1,0,1869,1869,2,5,5,1869,0,0,1869,0,2,0,2,1,5,6,3,1,5,2007,2,2,617,3,3,2,210,54,0,0,0,0,1,1,0,1,2007,318061
"352",352,120,2,54,5271,1,0,3,3,1,3,2,2,2,1,7,5,1986,1986,2,2,1,4,4,4,3,5,6,1082,1,0,371,1453,2,4,5,1453,0,0,1453,0,1,1,2,1,4,6,3,1,5,1986,2,2,445,3,3,2,0,80,0,0,184,0,1,1,0,1,2006,190000
"353",353,50,2,60,9084,1,2,3,3,2,3,1,2,2,3,5,6,1941,1950,3,3,1,4,4,3,2,3,1,236,2,380,0,616,2,3,2,616,495,0,1111,1,1,0,3,1,3,5,3,0,3,1941,1,1,200,3,2,2,48,0,0,0,0,0,1,1,0,1,2008,95000
"354",354,30,3,60,8520,1,2,3,3,2,3,2,2,2,1,6,8,1928,2003,3,3,1,4,5,3,3,2,1,0,1,0,624,624,2,4,5,720,0,0,720,0,1,0,2,1,3,5,3,0,3,2005,1,2,484,3,3,2,106,0,0,0,0,0,1,1,0,1,2010,105900
"355",355,50,2,60,8400,1,1,3,3,2,3,2,2,2,3,6,5,1940,2000,2,2,1,4,4,3,3,2,1,388,1,0,552,940,2,5,5,1192,403,0,1595,0,1,0,2,1,3,6,3,2,5,1940,1,1,240,3,3,2,0,0,108,0,0,0,1,1,0,1,2006,140000
"356",356,20,2,105,11249,1,2,3,3,2,3,2,2,2,1,6,5,1995,1995,3,3,1,5,5,4,4,2,5,334,3,544,322,1200,2,5,5,1200,0,0,1200,0,2,0,3,1,4,6,3,0,5,1995,2,2,521,3,3,2,0,26,0,0,0,0,1,1,0,1,2007,177500
"357",357,20,2,122,9248,1,2,3,3,2,3,2,2,2,1,6,6,1992,1992,2,2,4,4,4,4,3,2,6,560,1,0,598,1158,2,4,5,1167,0,0,1167,0,2,0,3,1,4,6,3,0,5,1992,2,2,400,3,3,2,120,26,0,0,0,0,1,1,0,1,2009,173000
"358",358,120,3,44,4224,1,2,3,3,2,3,2,2,2,1,5,5,1976,1976,2,2,1,4,4,4,3,2,5,874,1,0,268,1142,2,3,5,1142,0,0,1142,0,1,1,3,1,3,6,3,1,5,1976,4,2,528,3,3,2,536,90,0,0,0,0,1,1,0,1,2007,134000
"359",359,80,2,92,6930,1,2,3,3,2,3,2,2,2,1,5,4,1958,1958,2,3,4,4,4,3,3,4,3,300,2,294,468,1062,2,5,5,1352,0,0,1352,1,1,0,3,1,4,6,2,0,5,1958,1,1,288,3,3,2,168,0,294,0,0,0,1,1,0,1,2006,130000
"360",360,60,2,78,12011,1,2,3,4,2,3,2,2,2,4,8,5,1998,1998,3,3,4,5,4,4,3,4,6,956,1,0,130,1086,2,5,5,1086,838,0,1924,0,2,1,3,1,4,7,3,1,5,1998,2,2,592,3,3,2,208,75,0,0,374,0,1,1,0,1,2006,280000
"361",361,85,2,48,7540,1,2,3,4,2,3,2,2,2,1,6,6,1978,1978,3,3,1,4,4,4,3,4,6,773,1,0,115,888,2,5,5,912,0,0,912,0,1,0,2,1,3,5,3,1,5,1978,2,2,470,3,3,2,0,0,0,0,192,0,1,1,0,1,2007,156000
"362",362,50,2,58,9144,1,2,3,3,2,3,2,2,2,3,5,5,1940,1982,2,2,1,4,4,3,3,2,2,399,1,0,484,883,2,4,5,988,517,0,1505,0,1,0,3,1,3,8,3,0,3,1940,1,1,240,3,3,1,0,0,0,0,0,0,1,1,0,1,2008,145000
"363",363,85,2,64,7301,1,2,3,2,2,3,2,2,2,1,7,5,2003,2003,2,2,4,5,4,1,1,2,1,0,1,0,0,0,2,5,5,495,1427,0,1922,0,3,0,4,1,4,7,3,1,5,2003,2,2,672,3,3,2,0,0,177,0,0,0,1,1,0,1,2009,198500
"364",364,160,3,21,1680,1,2,3,3,2,3,2,2,1,4,6,8,1972,2007,2,2,4,4,4,3,3,2,5,162,1,0,321,483,2,4,5,483,504,0,987,0,1,1,2,1,4,5,3,0,3,1972,1,1,264,3,3,2,250,0,0,0,0,0,1,1,0,1,2009,118000
"365",365,60,2,85,18800,1,2,3,1,2,3,2,2,2,4,6,5,1976,1976,2,2,4,4,4,4,3,3,6,712,1,0,84,796,2,3,5,790,784,0,1574,0,2,1,3,1,3,6,3,1,5,1976,4,2,566,3,3,2,306,111,0,0,0,0,1,1,0,1,2006,190000
"366",366,70,3,59,10690,1,2,3,3,2,3,2,2,2,4,5,7,1920,1997,3,3,1,4,5,3,2,2,2,456,1,0,216,672,2,4,5,672,672,0,1344,0,1,0,3,1,3,6,3,0,3,1964,1,1,468,3,2,2,0,128,218,0,0,0,1,1,0,1,2009,147000
"367",367,20,2,76,9500,1,2,3,3,2,3,2,2,2,1,6,5,1963,1963,3,3,4,4,4,4,3,2,3,609,1,0,785,1394,2,4,5,1394,0,0,1394,0,1,1,3,1,3,6,3,2,5,1963,2,2,514,3,3,2,0,76,0,0,185,0,1,1,0,1,2009,159000
"368",368,80,2,101,9150,1,2,3,2,2,3,2,2,2,1,6,5,1962,1962,3,3,4,4,4,4,3,5,6,371,1,0,728,1099,2,4,5,1431,0,0,1431,1,1,0,3,1,3,6,3,1,3,1962,2,1,296,3,3,2,64,110,0,0,0,0,1,1,0,1,2008,165000
"369",369,20,2,78,7800,1,2,3,3,2,3,2,2,2,1,5,6,1954,1954,2,2,4,4,4,3,3,2,1,540,1,0,728,1268,2,4,5,1268,0,0,1268,0,1,0,2,1,3,7,3,1,5,1954,4,1,244,3,3,2,0,98,0,0,0,0,1,1,0,1,2010,132000
"370",370,20,2,79,9830,1,2,3,2,2,3,2,2,2,1,5,7,1959,2006,2,2,1,4,5,3,3,2,5,72,2,258,733,1063,2,5,5,1287,0,0,1287,0,1,0,3,1,4,7,3,1,3,1997,4,2,576,3,3,2,364,17,0,0,182,0,1,1,0,1,2010,162000
"371",371,60,2,63,8121,1,2,3,3,2,3,2,2,2,4,6,5,2000,2000,3,3,1,4,4,4,3,2,1,0,1,0,953,953,2,5,5,953,711,0,1664,0,2,1,3,1,3,7,3,1,5,2000,2,2,460,3,3,2,100,40,0,0,0,0,1,1,0,1,2006,172400
"372",372,50,2,80,17120,1,2,3,3,2,3,1,2,2,3,4,4,1959,1959,2,3,1,4,4,1,1,2,1,0,1,0,0,0,2,3,5,1120,468,0,1588,0,2,0,4,1,3,7,2,1,3,1991,4,2,680,3,3,1,0,59,0,0,0,0,1,1,0,1,2008,134432
"373",373,120,2,50,7175,1,2,3,3,2,3,2,2,2,1,6,5,1984,1984,3,3,1,4,4,4,3,2,5,623,1,121,0,744,2,3,5,752,0,0,752,0,1,0,2,1,3,4,3,0,5,1984,1,1,264,3,3,2,353,0,0,0,90,0,1,1,0,1,2010,125000
"374",374,20,2,79,10634,1,2,3,3,2,3,2,2,2,1,5,6,1953,1953,2,2,1,4,4,3,3,2,3,428,1,180,0,608,2,3,5,1319,0,0,1319,0,1,0,3,1,3,5,2,0,5,1953,1,1,270,3,3,2,66,0,0,0,0,0,1,1,0,1,2009,123000
"375",375,60,2,65,8200,1,2,3,3,2,3,2,2,2,4,7,5,2003,2004,3,3,1,5,4,4,3,2,1,0,1,0,847,847,2,5,5,847,1081,0,1928,0,2,1,4,1,4,8,3,1,5,2003,4,2,434,3,3,2,100,48,0,0,0,0,1,1,0,1,2007,219500
"376",376,30,2,57,10020,1,0,3,3,0,3,2,2,2,1,1,1,1922,1950,2,2,1,3,3,2,1,5,3,350,1,0,333,683,2,4,2,904,0,0,904,0,0,1,1,1,2,4,2,0,1,1910,1,0,0,1,1,2,0,0,0,0,0,0,1,1,0,1,2009,61000
"377",377,85,2,57,8846,1,2,3,4,2,3,2,2,2,1,5,5,1996,1996,3,3,1,5,4,4,3,4,6,298,1,0,572,870,2,5,5,914,0,0,914,0,1,0,2,1,3,5,3,0,3,1998,1,2,576,3,3,2,0,0,0,0,0,0,1,1,0,1,2006,148000
"378",378,60,0,102,11143,1,2,3,2,2,3,2,2,2,4,8,5,2004,2005,2,2,1,5,4,4,3,2,1,0,1,0,1580,1580,2,5,5,1580,886,0,2466,0,3,0,4,1,4,8,3,1,5,2004,2,2,610,3,3,2,159,214,0,0,0,0,1,1,0,1,2007,340000
"379",379,20,2,88,11394,1,2,3,2,2,3,2,2,2,1,9,2,2010,2010,3,3,4,5,4,5,3,4,6,1445,1,0,411,1856,2,5,5,1856,0,0,1856,0,1,1,1,1,5,8,3,1,5,2010,4,3,834,3,3,2,113,0,0,0,0,0,1,1,0,1,2010,394432
"380",380,60,2,60,8123,1,2,3,3,2,3,0,2,2,4,6,5,2000,2000,3,3,4,4,4,4,3,2,1,0,1,0,982,982,2,5,5,1007,793,0,1800,0,2,1,3,1,3,7,3,1,5,2000,4,2,463,3,3,2,100,63,0,0,0,0,1,1,0,1,2009,179000
"381",381,50,2,50,5000,1,2,3,3,2,3,2,2,2,3,5,6,1924,1950,5,2,1,4,4,3,3,2,1,218,1,0,808,1026,2,3,5,1026,665,0,1691,0,2,0,3,1,4,6,3,1,3,1924,1,1,308,3,3,2,0,0,242,0,0,0,1,1,0,1,2010,127000
"382",382,20,0,60,7200,1,2,3,3,2,3,2,2,2,1,7,5,2006,2006,3,3,1,5,4,4,4,2,1,0,1,0,1293,1293,2,5,5,1301,0,0,1301,0,2,0,2,1,4,5,3,1,5,2006,2,2,572,3,3,2,216,121,0,0,0,0,1,1,0,1,2006,187750
"383",383,60,2,79,9245,1,2,3,3,2,3,2,2,2,4,7,5,2006,2006,3,3,1,5,4,4,3,4,1,0,1,0,939,939,2,5,5,939,858,0,1797,0,2,1,3,1,4,8,3,0,5,2006,2,2,639,3,3,2,144,53,0,0,0,0,1,1,0,1,2007,213500
"384",384,45,4,60,9000,1,2,3,2,2,3,2,2,2,2,6,3,1928,1950,2,2,1,4,4,2,2,2,1,0,1,0,784,784,2,3,2,784,0,0,784,0,1,0,2,1,3,5,3,0,3,1950,1,2,360,2,2,1,0,0,91,0,0,0,1,1,0,1,2009,76000
"385",385,60,2,47,53107,1,0,3,2,1,3,1,2,2,4,6,5,1992,1992,2,2,1,5,4,4,3,4,6,985,1,0,595,1580,2,5,5,1079,874,0,1953,0,2,1,3,1,4,9,3,2,5,1992,4,2,501,3,3,2,216,231,0,0,0,0,1,1,0,1,2007,240000
"386",386,120,2,43,3182,1,2,3,3,2,3,2,2,2,1,8,5,2004,2005,3,3,4,5,4,4,3,2,6,24,1,0,1232,1256,2,5,5,1269,0,0,1269,0,2,0,2,1,4,6,3,1,5,2004,4,2,430,3,3,2,146,20,0,0,144,0,1,1,0,1,2010,192000
"387",387,50,2,58,8410,1,2,3,1,2,3,1,2,2,3,5,3,1910,1996,2,3,1,4,3,3,3,2,1,0,1,0,658,658,2,3,5,658,526,0,1184,0,1,0,5,1,3,8,3,0,1,1910,1,0,0,1,1,1,0,151,0,0,0,0,1,1,0,1,2006,81000
"388",388,80,2,72,7200,1,2,3,3,2,3,2,2,2,1,6,6,1976,1976,2,2,4,4,4,3,3,4,5,631,1,0,410,1041,2,5,5,1125,0,0,1125,0,1,0,3,1,3,6,3,1,3,1977,1,1,352,3,3,2,296,0,0,0,0,0,1,1,0,1,2009,125000
"389",389,20,2,93,9382,1,2,3,4,2,3,2,2,2,1,7,5,1999,2000,3,3,4,5,4,4,3,2,1,0,1,0,1468,1468,2,5,5,1479,0,0,1479,0,2,0,3,1,4,6,3,0,5,1999,2,2,577,3,3,2,120,25,0,0,0,0,1,1,0,1,2008,191000
"390",390,60,2,96,12474,1,2,3,3,2,3,2,2,2,4,10,5,2007,2008,3,3,4,7,4,5,3,4,6,1280,1,0,402,1682,2,5,5,1742,590,0,2332,0,2,1,3,1,5,9,3,1,5,2008,4,3,846,3,3,2,196,134,0,0,0,0,1,1,0,1,2008,426000
"391",391,50,2,50,8405,1,2,3,3,2,3,2,2,2,3,5,8,1900,1950,2,2,1,4,4,3,4,2,2,241,3,391,229,861,2,5,5,961,406,0,1367,0,1,0,4,1,3,7,3,0,3,1978,1,1,384,3,3,2,0,130,112,0,0,0,1,1,0,1,2008,119000
"392",392,60,2,71,12209,1,2,3,4,2,3,2,2,2,4,6,5,2001,2002,3,3,1,4,4,5,3,2,5,690,1,0,114,804,2,5,5,804,1157,0,1961,0,2,1,3,1,4,7,3,1,5,2001,4,2,560,3,3,2,125,192,0,0,0,0,1,1,0,1,2009,215000
"393",393,20,2,71,8339,1,2,3,3,2,3,2,2,2,1,5,7,1959,1959,2,2,1,4,4,1,1,2,1,0,1,0,0,0,2,3,5,882,0,0,882,0,1,0,3,1,3,5,3,0,5,1959,2,1,294,3,3,2,0,0,0,0,0,0,1,1,1200,1,2007,106500
"394",394,30,2,50,7446,1,2,3,2,2,3,1,2,2,1,4,5,1941,1950,2,2,1,4,4,3,3,2,2,266,1,0,522,788,2,3,5,788,0,0,788,0,1,0,2,1,3,4,3,2,1,1930,1,0,0,1,1,2,0,0,0,0,0,0,1,1,0,1,2006,100000
"395",395,50,2,60,10134,1,2,3,3,2,3,2,2,2,3,5,6,1940,1950,2,2,1,4,4,3,3,2,1,0,1,0,735,735,2,4,5,735,299,0,1034,0,1,0,2,1,3,5,3,0,3,1940,1,1,240,3,3,2,0,39,0,0,0,0,1,1,0,1,2007,109000
"396",396,20,2,68,9571,1,2,3,3,2,3,2,2,2,1,5,6,1956,1956,2,2,1,4,4,3,3,4,3,739,1,0,405,1144,2,3,5,1144,0,0,1144,0,1,0,3,1,3,6,3,0,5,1956,1,1,596,3,3,2,44,0,0,0,0,0,1,1,0,1,2010,129000
"397",397,20,2,60,7200,1,0,3,3,2,3,2,2,2,1,5,5,1972,1972,2,2,1,4,4,3,3,4,2,777,1,0,117,894,2,3,5,894,0,0,894,0,1,0,2,1,3,6,3,0,3,1985,2,2,600,3,3,2,215,0,0,0,0,0,1,1,0,1,2009,123000
"398",398,60,2,69,7590,1,2,3,3,2,3,3,2,2,4,5,5,1962,1962,3,3,4,4,4,3,3,2,5,540,1,0,324,864,2,3,5,876,936,0,1812,0,2,0,4,1,3,8,3,1,5,1962,2,1,264,3,3,2,0,168,0,0,0,0,1,1,0,1,2007,169500
"399",399,30,3,60,8967,1,2,3,2,2,3,2,2,2,1,5,2,1920,1950,2,2,1,4,3,2,1,2,1,0,1,0,961,961,2,4,5,1077,0,0,1077,0,1,0,2,1,3,6,2,0,3,1920,1,1,338,1,1,1,0,0,0,0,0,0,1,1,0,1,2007,67000
"400",400,60,0,65,8125,1,2,3,3,2,3,2,2,2,4,7,5,2006,2007,2,2,4,5,4,4,3,2,6,812,1,0,280,1092,2,5,5,1112,438,0,1550,0,2,0,2,1,4,7,3,0,5,2007,4,2,438,3,3,2,0,168,0,0,0,0,1,1,0,1,2009,241000
"401",401,120,2,38,14963,1,2,3,3,2,3,2,2,2,1,8,5,1996,1996,5,5,1,5,4,4,3,2,6,786,1,0,474,1260,2,5,5,1288,0,0,1288,0,1,1,1,1,5,4,3,2,5,1996,4,2,500,3,3,2,120,30,0,0,224,0,1,1,0,1,2008,245500
"402",402,20,2,65,8767,1,2,3,3,2,3,2,2,2,1,7,5,2005,2005,3,3,1,5,4,4,3,4,6,24,1,0,1286,1310,2,5,5,1310,0,0,1310,0,2,0,3,1,4,6,3,1,5,2005,4,2,400,3,3,2,0,0,0,0,0,0,1,1,0,1,2006,164990
"403",403,30,2,60,10200,1,2,3,3,2,3,2,2,2,1,5,8,1940,1997,2,2,1,4,4,3,3,2,1,0,1,0,672,672,2,5,5,672,0,0,672,0,1,0,2,1,3,4,3,0,3,1940,1,1,240,3,3,1,168,0,0,0,0,0,2,1,0,1,2008,108000
"404",404,60,2,93,12090,1,2,3,2,2,3,2,2,2,4,8,5,1998,1998,3,3,4,5,4,4,3,2,1,0,1,0,1141,1141,2,4,5,1165,1098,0,2263,0,2,1,4,1,4,10,3,1,5,1998,4,2,420,3,3,2,144,123,0,0,0,0,1,1,0,1,2006,258000
"405",405,60,2,60,10364,1,2,3,3,2,3,2,2,2,4,6,5,1995,1996,2,2,1,4,4,4,3,2,1,0,1,0,806,806,2,4,5,806,766,0,1572,0,2,1,3,1,3,7,3,1,5,1995,4,2,373,3,3,2,0,40,0,0,0,0,1,1,0,1,2007,168000
"406",406,20,2,96,9991,1,2,3,2,2,3,1,2,2,1,4,4,1976,1993,3,3,1,4,4,3,3,2,3,1116,1,0,165,1281,2,5,5,1620,0,0,1620,0,2,0,3,1,3,8,2,1,5,1993,1,2,490,3,3,2,120,78,0,0,0,0,1,1,0,1,2009,150000
"407",407,50,2,51,10480,1,2,3,3,2,3,2,2,2,3,6,5,1936,1950,2,2,1,4,4,3,3,2,1,0,1,0,1064,1064,2,5,5,1166,0,473,1639,0,1,0,3,1,3,6,2,0,3,1936,1,1,240,3,3,2,0,0,0,0,0,0,1,1,0,1,2008,115000
"408",408,70,2,63,15576,1,2,3,3,2,3,2,2,2,4,6,7,1915,1976,2,3,1,4,4,4,3,2,1,0,1,0,840,840,2,5,5,840,840,0,1680,0,2,0,4,1,3,8,3,0,5,1960,1,1,308,3,3,2,0,0,160,0,0,0,1,1,0,1,2008,177000
"409",409,60,2,109,14154,1,2,3,2,2,3,2,2,2,4,7,5,2006,2006,3,3,4,5,4,5,4,2,1,0,1,0,1063,1063,2,5,5,1071,1101,0,2172,0,2,1,3,1,4,9,3,1,5,2006,2,3,947,3,3,2,192,62,0,0,0,0,1,1,0,1,2007,280000
"410",410,60,0,85,10800,1,2,3,3,2,3,2,2,2,4,8,5,2007,2008,3,3,4,5,4,5,3,2,6,789,1,0,245,1034,2,5,5,1050,1028,0,2078,0,2,1,3,1,5,8,3,1,5,2008,4,3,836,3,3,2,0,102,0,0,0,0,1,1,0,1,2008,339750
"411",411,20,2,68,9571,1,2,3,3,2,3,2,2,2,1,5,3,1958,1958,5,5,1,4,3,3,2,2,1,0,1,0,1276,1276,2,3,5,1276,0,0,1276,0,1,0,3,1,3,5,3,0,5,1958,1,1,350,3,3,2,0,0,0,0,0,0,1,1,0,1,2009,60000
"412",412,190,2,100,34650,1,1,3,3,2,3,2,2,1,1,5,5,1955,1955,2,2,1,4,4,3,3,3,2,1056,1,0,0,1056,2,3,2,1056,0,0,1056,0,1,0,3,1,3,5,3,0,5,1955,4,2,572,3,3,2,264,0,0,0,0,0,1,1,0,1,2006,145000
"413",413,20,0,75,4403,1,2,3,3,2,3,2,2,2,1,7,5,2009,2009,2,2,4,7,4,5,3,4,6,578,1,0,892,1470,2,5,5,1478,0,0,1478,0,2,1,2,1,4,7,3,1,5,2009,4,2,484,3,3,2,0,144,0,0,0,0,1,1,0,1,2010,222000
"414",414,30,3,56,8960,1,2,3,3,2,3,1,2,2,1,5,6,1927,1950,2,2,1,4,4,3,3,2,1,0,1,0,1008,1008,2,4,5,1028,0,0,1028,0,1,0,2,1,3,5,3,1,3,1927,1,2,360,3,3,2,0,0,130,0,0,0,1,1,0,1,2010,115000
"415",415,60,2,59,11228,1,2,3,4,2,3,2,2,2,4,7,5,1993,1993,3,3,1,5,4,4,3,2,3,50,6,531,499,1080,2,5,5,1080,1017,0,2097,1,2,1,3,1,4,9,3,1,5,1993,1,3,678,3,3,2,196,187,0,0,0,0,1,1,0,1,2008,228000
"416",416,20,2,73,8899,1,2,3,3,2,3,2,2,2,1,7,5,2007,2007,3,3,1,5,4,4,3,4,6,24,1,0,1316,1340,2,5,5,1340,0,0,1340,0,2,0,3,1,4,6,3,0,5,2007,4,2,396,3,3,2,100,30,0,0,0,0,1,1,0,1,2007,181134
"417",417,60,2,74,7844,1,2,3,3,2,3,2,2,2,4,6,7,1978,1978,2,2,4,4,4,3,3,2,5,209,1,0,463,672,2,3,5,672,728,0,1400,0,1,1,3,1,3,6,3,1,5,1978,4,2,440,3,3,2,0,0,0,0,0,0,1,1,0,1,2006,149500
"418",418,70,2,86,22420,1,2,3,3,2,3,1,2,2,4,6,6,1918,1950,2,5,1,4,4,4,3,2,3,1128,1,0,242,1370,2,3,2,1370,1254,0,2624,0,2,1,4,1,3,10,3,1,3,1918,1,3,864,3,3,1,0,0,0,0,0,0,1,1,0,1,2007,239000
"419",419,50,2,60,8160,1,2,3,3,2,3,2,2,2,3,5,6,1940,1950,2,2,1,4,4,3,3,2,5,312,1,0,444,756,2,2,2,756,378,0,1134,0,1,1,3,1,3,7,3,0,3,1940,1,1,240,3,3,1,0,0,0,0,0,0,1,1,0,1,2007,126000
"420",420,20,2,65,8450,1,2,3,3,2,3,2,2,2,1,5,6,1968,1968,3,3,1,4,4,3,3,2,3,775,1,0,281,1056,2,5,5,1056,0,0,1056,0,1,0,3,1,3,6,3,1,5,1968,1,1,304,3,3,2,0,85,184,0,0,0,1,1,0,1,2010,142000
